factsheet,topic,attribute,subattribute,#,value,,
ISIMIP2a,,,version,34,N/A,,
ISIMIP2a,,model,name,35,HBV-JLU (water regional),,
ISIMIP2a,,,version,35,N/A,,
ISIMIP2a,,model,name,36,HBV-PIK (water regional),,
ISIMIP2a,,,version,36,N/A,,
ISIMIP2a,,model,name,37,HYMOD-JLU (water regional),,
ISIMIP2a,,,version,37,N/A,,
ISIMIP2a,,model,name,38,HYMOD-UFZ (water regional),,
ISIMIP2a,,,version,38,"version 1
",,
ISIMIP2a,,model,name,39,HYPE (water regional),,
ISIMIP2a,,,version,39,N/A,,
ISIMIP2a,,model,name,40,IAPRAS-DSS (permafrost),,
ISIMIP2a,,,version,40,standard,,
ISIMIP2a,,model,name,41,"JULES-B1 (formerly JULES_UoE) (biomes, permafrost, water global)",,
ISIMIP2a,,,version,41,JULES v4.4,,
ISIMIP2a,,model,name,42,"JULES-W1 (formerly JULES_TUC) (water global)
",,
ISIMIP2a,,,version,42,version 4.3,,
ISIMIP2a,,model,name,43,"Landscape-DNDC (forestry)
",,
ISIMIP2a,,,version,43,1.2,,
ISIMIP2a,,model,name,44, LPJ-GUESS (agriculture), ,
ISIMIP2a,,,version,44,Version 2.1 with crop module,,
ISIMIP2a,,model,name,45,LPJ-GUESS (biomes),,
ISIMIP2a,,,version,45,3.1,,
ISIMIP2a,,model,name,46," LPJmL (agriculture, biomes, permafrost, water global)",,
ISIMIP2a,,,version,46,N/A,,
ISIMIP2a,,model,name,47,Macroecological (fisheries global),,
ISIMIP2a,,,version,47,"v1.0 (as described in Jennings and Collingridge, 2015)",,
ISIMIP2a,,model,name,48,MATSIRO (water global),,
ISIMIP2a,,,version,48,HiGW-MAT,,
ISIMIP2a,,model,name,49,mHM (water regional),,
ISIMIP2a,,,version,49,v. 5.4,,
ISIMIP2a,,model,name,50,MPI-HM (water global),,
ISIMIP2a,,,version,50,R44,,
ISIMIP2a,,model,name,51,"ORCHIDEE (biomes, water global)",,
ISIMIP2a,,,version,51,rev3013,,
ISIMIP2a,,model,name,52,ORCHIDEE-CROP (agriculture),,
ISIMIP2a,,,version,52,V1.1,,
ISIMIP2a,,model,name,53,OSMOSE (N Humboldt) (fisheries regional),,
ISIMIP2a,,,version,53,osmose 3.0,,
ISIMIP2a,,model,name,54,pAPSIM (agriculture),,
ISIMIP2a,,,version,54,pAPSIM1.0 (APSIM V7.5),,
ISIMIP2a,,model,name,55,PCR-GLOBWB (water global),,
ISIMIP2a,,,version,55,version 2,,
ISIMIP2a,,model,name,56,pDSSAT (agriculture),,
ISIMIP2a,,,version,56,pDSSAT2.0 (DSSAT4.6),,
ISIMIP2a,,model,name,57,PEGASUS (agriculture),,
ISIMIP2a,,,version,57,V1.1,,
ISIMIP2a,,model,name,58,PEPIC (agriculture),,
ISIMIP2a,,,version,58,Eawag (EPIC0810),,
ISIMIP2a,,model,name,59,PnET-BGC (forestry),,
ISIMIP2a,,,version,59,PnET-CN,,
ISIMIP2a,,model,name,60,PREBAS (forestry),,
ISIMIP2a,,,version,60,1,,
ISIMIP2a,,model,name,61,PRYSBI2 (agriculture),,
ISIMIP2a,,,version,61,Version2.2,,
ISIMIP2a,,model,name,62,SS-DBEM (fisheries global),,
ISIMIP2a,,,version,62,N/A,,
ISIMIP2a,,model,name,63,SWAP (water regional),,
ISIMIP2a,,,version,63,N/A,,
ISIMIP2a,,model,name,64,SWAT (Amazon) (water regional),,
ISIMIP2a,,,version,64,N/A,,
ISIMIP2a,,model,name,65,SWAT (Blue Nile) (water regional),,
ISIMIP2a,,,version,65,SWATV637,,
ISIMIP2a,,model,name,66,SWAT-CMA (water regional),,
ISIMIP2a,,,version,66,N/A,,
ISIMIP2a,,model,name,67,SWAT (Darling) (water regional),,
ISIMIP2a,,,version,67,N/A,,
ISIMIP2a,,model,name,68,SWAT (Mississippi) (water regional),,
ISIMIP2a,,,version,68,N/A,,
ISIMIP2a,,model,name,69,SWAT (Niger) (water regional),,
ISIMIP2a,,,version,69,N/A,,
ISIMIP2a,,model,name,70,SWBM (water global),,
ISIMIP2a,,,version,70,N/A,,
ISIMIP2a,,model,name,71,SWIM (Blue Nile) (water regional),,
ISIMIP2a,,,version,71,N/A,,
ISIMIP2a,,model,name,72,SWIM () (water regional),,
ISIMIP2a,,,version,72,N/A,,
ISIMIP2a,,model,name,73,SWIM-CMA (water regiona),,
ISIMIP2a,,,version,73,N/A,,
ISIMIP2a,,model,name,74,"SWIM (Ganges, Amazon) (water regional)",,
ISIMIP2a,,,version,74,N/A,,
ISIMIP2a,,model,name,75,SWIM (Lena) (water regional),,
ISIMIP2a,,,version,75,N/A,,
ISIMIP2a,,model,name,76,SWIM (Niger) (water regional),,
ISIMIP2a,,,version,76,N/A,,
ISIMIP2a,,model,name,77,SWIM-NVE (water regional),,
ISIMIP2a,,,version,77,v. 7,,
ISIMIP2a,,model,name,78,SWIM (Tagus) (water regional),,
ISIMIP2a,,,version,78,N/A,,
ISIMIP2a,,model,name,79,VEGAS (biomes),,
ISIMIP2a,,,version,79,v2.3,,
ISIMIP2a,,model,name,80,VIC (water global),,
ISIMIP2a,,,version,80,VIC.4.2.a.irrigation,,
ISIMIP2a,,model,name,81,VIC-CMA (water regional),,
ISIMIP2a,,,version,81,N/A,,
ISIMIP2a,,model,name,82,VIC (Ganges) (water regional),,
ISIMIP2a,,,version,82,N/A,,
ISIMIP2a,,model,name,83,VIC-NVE (water regional),,
ISIMIP2a,,,version,83,N/A,,
ISIMIP2a,,model,name,84,"VIC (Tagus, Blue Nile, Yellow, Lena, Darling, Amazon, MacKenzie) (water regional)",,
ISIMIP2a,,,version,84,N/A,,
ISIMIP2a,,model,name,85,VIP (water regional),,
ISIMIP2a,,,version,85,N/A,,
ISIMIP2a,,model,name,86,VISIT (biomes),,
ISIMIP2a,,,version,86,VISITa,,
ISIMIP2a,,model,name,87,WaterGAP2 (water global),,
ISIMIP2a,,,version,87,WaterGAP 2.2 (ISIMIP2a),,
ISIMIP2a,,model,name,88,WaterGAP3 (water regional),,
ISIMIP2a,,,version,88,N/A,,
ISIMIP2a,publications,reference,citation,1,"Jamal Zaherpour, Simon N Gosling, Nick Mount, Hannes Müller Schmied, Ted I E Veldkamp, Rutger Dankers, Stephanie Eisner, Dieter Gerten, Lukas Gudmundsson, Ingjerd Haddeland, ""Worldwide evaluation of mean and extreme runoff from six global-scale hydrological models that account for human impacts"", Environmental Research Letters, Volume 13, Number 6",,
,,reference,citation,2,"Huang, Z., Hejazi, M., Li, X., Tang, Q., Vernon, C., Leng, G., Liu, Y., Döll, P., Eisner, S., Gerten, D., Hanasaki, N., and Wada, Y., ""Reconstruction of global gridded monthly sectoral water withdrawals for 1971–2010 and analysis of their spatiotemporal patterns"", Hydrology and Earth System Sciences, 22, 2117-2133",,
,,reference,citation,3,"Anselmo García Cantú, Katja Frieler, Christopher P O Reyer, Philippe Ciais, Jinfeng Chang, Akihiko Ito, Kazuya Nishina, Louis François, Alexandra-Jane Henrot, Thomas Hickler, Jörg Steinkamp, Rashid Rafique, Fang Zhao, Sebastian Ostberg, Sibyll Schaphoff, Hanqin Tian, Shufen Pan, Jia Yang, Catherine Morfopoulos and Richard Betts, ""Evaluating changes of biomass in global vegetation models: the role of turnover fluctuations and ENSO events"", Environmental Research Letters, Volume 13, Number 7",,
,,reference,citation,4,"Richard Wartenburger et al., ""Evapotranspiration simulations in ISIMIP2a—Evaluation of spatio-temporal characteristics with a comprehensive ensemble of independent datasets"", Environmental Research Letters Volume 13, Number 7 (2018) 075001",,
,,reference,citation,5,"Jamal Zaherpour, Simon N Gosling, Nick Mount, Hannes Müller Schmied, Ted I E Veldkamp, Rutger Dankers, Stephanie Eisner, Dieter Gerten, Lukas Gudmundsson, Ingjerd Haddeland, Naota Hanasaki, Hyungjun Kim, Guoyong Leng, Junguo Liu, Yoshimitsu Masaki, Taikan Oki, Yadu Pokhrel, Yusuke Satoh, Jacob Schewe and Yoshihide Wada, ""Worldwide evaluation of mean and extreme runoff from six global-scale hydrological models that account for human impacts"", Environmental Research Letters, Volume 13, Number 6",,
,,reference,citation,6,"T I E Veldkamp, F Zhao, P J Ward, H de Moel, J C J H Aerts, H Müller Schmied, F T Portmann, Y Masaki, Y Pokhrel, X Liu, Y Satoh, D Gerten, S N Gosling, J Zaherpour and Y Wada, ""Human impact parameterizations in global hydrological models improve estimates of monthly discharges and hydrological extremes: a multi-model validation study"", Environmental Research Letters, Volume 13, Number 5",,
,,reference,citation,7,"F F Hattermann, T Vetter, L Breuer, Buda Su, P Daggupati, C Donnelly, B Fekete, F Flörke, S N Gosling, P Hoffmann, S Liersch, Y Masaki, Y Motovilov, C Müller, L Samaniego, T Stacke, Y Wada, T Yang and V Krysnaova, ""Sources of uncertainty in hydrological climate impact assessment: a cross-scale study"", Environmental Research Letters, Volume 13, Number 1",,
,,reference,citation,8,"Valentina Krysanova, Tobias Vetter, Stephanie Eisner, Shaochun Huang, Ilias Pechlivanidis, Michael Strauch, Alexander Gelfan, Rohini Kumar, Valentin Aich, Berit Arheimer, Alejandro Chamorro, Ann van Griensven, Dipangkar Kundu, Anastasia Lobanova, Vimal Mishra, Stefan Plötner, Julia Reinhardt, Ousmane Seidou, Xiaoyan Wang, Michel Wortmann, Xiaofan Zeng and Fred F Hattermann, ""Intercomparison of regional-scale hydrological models and climate change impacts projected for 12 large river basins worldwide—a synthesis"", Environmental Research Letters, Volume 12, Number 10",,
,,reference,citation,9,"Min Chen et al., ""Regional contribution to variability and trends of global gross primary productivity"", Environmental Research Letters, Volume 12, Number 10, https://doi.org/10.1088/1748-9326/aa8978",,
,,reference,citation,10,"Tittensor, D. P., Eddy, T. D., Lotze, H. K., Galbraith, E. D., Cheung, W., Barange, M., Blanchard, J. L., Bopp, L., Bryndum-Buchholz, A., Büchner, M., Bulman, C., Carozza, D. A., Christensen, V., Coll, M., Dunne, J. P., Fernandes, J. A., Fulton, E. A., Hobday, A. J., Huber, V., Jennings, S., Jones, M., Lehodey, P., Link, J. S., Mackinson, S., Maury, O., Niiranen, S., Oliveros-Ramos, R., Roy, T., Schewe, J., Shin, Y.-J., Silva, T., Stock, C. A., Steenbeek, J., Underwood, P. J., Volkholz, J., Watson, J. R., and Walker, N. D., ""A protocol for the intercomparison of marine fishery and ecosystem models: Fish-MIP v1.0"", Geosci. Model Dev., 11, 1421-1442, https://doi.org/10.5194/gmd-11-1421-2018, 2018",,
